time,tc,temp
2017-09-28 11:45:09-07:00,1,299.793
2017-09-28 11:45:09-07:00,2,300.466
2017-09-28 11:45:09-07:00,3,298.943
2017-09-28 11:45:09-07:00,4,299.243
2017-09-28 11:45:09-07:00,5,299.887
2017-09-28 11:45:09-07:00,6,296.624
2017-09-28 11:45:09-07:00,8,296.895
2017-09-28 11:45:09-07:00,76,296.419
2017-09-28 11:45:09-07:00,77,296.617
2017-09-28 11:45:09-07:00,78,296.457
2017-09-28 11:45:09-07:00,79,296.643
2017-09-28 11:45:09-07:00,80,296.588
2017-09-28 11:45:09-07:00,81,296.415
2017-09-28 11:45:09-07:00,82,296.386
2017-09-28 11:45:09-07:00,83,296.431
2017-09-28 11:45:09-07:00,84,296.366
2017-09-28 11:45:09-07:00,85,294.21
2017-09-28 11:45:09-07:00,86,294.425
2017-09-28 11:45:09-07:00,87,294.367
2017-09-28 11:45:09-07:00,88,294.434
2017-09-28 11:45:09-07:00,91,294.572
2017-09-28 11:45:09-07:00,92,294.543
2017-09-28 11:45:09-07:00,93,297.155
2017-09-28 11:45:09-07:00,96,296.721
2017-09-28 11:45:09-07:00,97,296.929
2017-09-28 11:45:09-07:00,98,296.593
2017-09-28 11:45:09-07:00,99,297.126
2017-09-28 11:45:09-07:00,101,296.446
2017-09-28 11:45:09-07:00,102,296.796
2017-09-28 11:45:09-07:00,103,296.668
2017-09-28 11:45:09-07:00,104,296.637
2017-09-28 11:45:09-07:00,105,297.004
2017-09-28 11:45:09-07:00,106,296.753
2017-09-28 11:45:09-07:00,107,297.069
2017-09-28 11:45:09-07:00,108,296.753
2017-09-28 11:45:09-07:00,109,297.286
2017-09-28 11:45:09-07:00,110,297.319
2017-09-28 11:45:09-07:00,111,296.91
2017-09-28 11:45:09-07:00,112,296.813
2017-09-28 11:45:09-07:00,113,297.021
2017-09-28 11:45:09-07:00,114,296.958
2017-09-28 11:45:09-07:00,115,297.441
2017-09-28 11:45:09-07:00,116,296.661
2017-09-28 11:45:09-07:00,117,296.854
2017-09-28 11:45:09-07:00,118,296.61
2017-09-28 11:45:09-07:00,119,296.837
2017-09-28 11:45:09-07:00,120,296.885
2017-09-28 11:45:19-07:00,1,299.773
2017-09-28 11:45:19-07:00,2,300.488
2017-09-28 11:45:19-07:00,3,298.972
2017-09-28 11:45:19-07:00,4,299.263
2017-09-28 11:45:19-07:00,5,299.888
2017-09-28 11:45:19-07:00,6,296.613
2017-09-28 11:45:19-07:00,8,296.9
2017-09-28 11:45:19-07:00,76,296.427
2017-09-28 11:45:19-07:00,77,296.629
2017-09-28 11:45:19-07:00,78,296.446
2017-09-28 11:45:19-07:00,79,296.637
2017-09-28 11:45:19-07:00,80,296.591
2017-09-28 11:45:19-07:00,81,296.443
2017-09-28 11:45:19-07:00,82,296.373
2017-09-28 11:45:19-07:00,83,296.415
2017-09-28 11:45:19-07:00,84,296.373
2017-09-28 11:45:19-07:00,85,294.207
2017-09-28 11:45:19-07:00,86,294.417
2017-09-28 11:45:19-07:00,87,294.359
2017-09-28 11:45:19-07:00,88,294.405
2017-09-28 11:45:19-07:00,91,294.56
2017-09-28 11:45:19-07:00,92,294.567
2017-09-28 11:45:19-07:00,93,297.136
2017-09-28 11:45:19-07:00,96,296.702
2017-09-28 11:45:19-07:00,97,296.931
2017-09-28 11:45:19-07:00,98,296.596
2017-09-28 11:45:19-07:00,99,297.126
2017-09-28 11:45:19-07:00,101,296.456
2017-09-28 11:45:19-07:00,102,296.755
2017-09-28 11:45:19-07:00,103,296.673
2017-09-28 11:45:19-07:00,104,296.637
2017-09-28 11:45:19-07:00,105,296.994
2017-09-28 11:45:19-07:00,106,296.753
2017-09-28 11:45:19-07:00,107,297.079
2017-09-28 11:45:19-07:00,108,296.748
